iter	Passed	Remaining
901	8734	949
902	8743	939
903	8750	929
904	8759	919
905	8767	909
906	8776	899
907	8785	890
908	8795	880
909	8804	870
910	8815	861
911	8824	851
912	8832	841
913	8841	831
914	8850	822
915	8859	812
916	8868	802
917	8877	792
918	8886	783
919	8895	773
920	8904	763
921	8912	754
922	8921	744
923	8930	734
924	8942	725
925	8952	715
926	8964	705
927	8973	696
928	8982	686
929	8991	676
930	9000	667
931	9010	657
932	9019	647
933	9028	637
934	9037	628
935	9047	618
936	9055	608
937	9064	599
938	9072	589
939	9081	579
940	9090	569
941	9098	560
942	9109	550
943	9120	541
944	9130	531
945	9140	521
946	9150	512
947	9160	502
948	9169	492
949	9178	483
950	9187	473
951	9199	463
952	9210	454
953	9220	444
954	9230	434
955	9239	425
956	9248	415
957	9258	405
958	9267	396
959	9277	386
960	9287	376
961	9297	367
962	9308	357
963	9317	347
964	9326	338
965	9334	328
966	9344	318
967	9353	309
968	9362	299
969	9372	289
970	9381	280
971	9390	270
972	9398	260
973	9408	251
974	9416	241
975	9425	231
976	9434	222
977	9444	212
978	9457	202
979	9467	193
980	9475	183
981	9483	173
982	9492	164
983	9500	154
984	9509	144
985	9518	135
986	9527	125
987	9536	115
988	9547	106
989	9557	96
990	9567	86
991	9576	77
992	9585	67
993	9594	57
994	9602	48
995	9610	38
996	9618	28
997	9627	19
998	9637	9
999	9646	0
